timepoint model testSet feature importance
1.0 timeSocialPlace 5 metAtThirdPlace 0.00772394478425
1.0 timeSocialPlace 5 metAtOtherPlace 0.0111451272364
1.0 timeSocialPlace 5 timeSpentAtHomeWith 0.017374562983
1.0 timeSocialPlace 5 timeSpentAtUniversityWith 0.0879345381614
1.0 timeSocialPlace 5 timeSpentAtThirdPlaceWith 0.00436477785806
1.0 timeSocialPlace 5 timeSpentAtOtherPlaceWith 0.00311972920204
1.0 timeSocialPlace 5 spatialTriadicClosure 0.161110503954
1.0 timeSocialPlace 5 candidatesSpatialTriadicClosure 0.000496772846909
1.0 timeSocialPlace 5 numberOfPeople 0.148822276366
1.0 timeSocialPlace 5 metAtHourOfTheWeek 0.0866291500907
1.0 timeSocialPlace 5 metAtDayOfTheWeek 0.0437745040842
1.0 timeSocialPlace 5 metAtHourOfTheDay 0.103447719336
1.0 timeSocialPlace 6 timeSpent 0.178958085471
1.0 timeSocialPlace 6 friends 0.0712600068694
1.0 timeSocialPlace 6 metAtHome 0.0159212389743
1.0 timeSocialPlace 6 metAtUniversity 0.0566356891628
1.0 timeSocialPlace 6 metAtThirdPlace 0.00744281548558
1.0 timeSocialPlace 6 metAtOtherPlace 0.0103783318861
1.0 timeSocialPlace 6 timeSpentAtHomeWith 0.0146189016376
1.0 timeSocialPlace 6 timeSpentAtUniversityWith 0.0882189023343
1.0 timeSocialPlace 6 timeSpentAtThirdPlaceWith 0.00345766933457
1.0 timeSocialPlace 6 timeSpentAtOtherPlaceWith 0.0032006294641
1.0 timeSocialPlace 6 spatialTriadicClosure 0.165598022834
1.0 timeSocialPlace 6 candidatesSpatialTriadicClosure 0.000479816232259
1.0 timeSocialPlace 6 numberOfPeople 0.147691353876
1.0 timeSocialPlace 6 metAtHourOfTheWeek 0.0876834981419
1.0 timeSocialPlace 6 metAtDayOfTheWeek 0.0439198261086
1.0 timeSocialPlace 6 metAtHourOfTheDay 0.104535212187
1.0 timeSocialPlace 7 timeSpent 0.177380312386
1.0 timeSocialPlace 7 friends 0.0761833639931
1.0 timeSocialPlace 7 metAtHome 0.0181667787634
1.0 timeSocialPlace 7 metAtUniversity 0.0572490800752
1.0 timeSocialPlace 7 metAtThirdPlace 0.00837674952659
1.0 timeSocialPlace 7 metAtOtherPlace 0.0112630919315
1.0 timeSocialPlace 7 timeSpentAtHomeWith 0.0170850047558
1.0 timeSocialPlace 7 timeSpentAtUniversityWith 0.0866759858647
1.0 timeSocialPlace 7 timeSpentAtThirdPlaceWith 0.00417780861567
1.0 timeSocialPlace 7 timeSpentAtOtherPlaceWith 0.00274803006346
1.0 timeSocialPlace 7 spatialTriadicClosure 0.158449340315
1.0 timeSocialPlace 7 candidatesSpatialTriadicClosure 0.000478943800081
1.0 timeSocialPlace 7 numberOfPeople 0.148294606859
1.0 timeSocialPlace 7 metAtHourOfTheWeek 0.0874373112237
1.0 timeSocialPlace 7 metAtDayOfTheWeek 0.0455883240324
1.0 timeSocialPlace 7 metAtHourOfTheDay 0.100445267794
1.0 timeSocialPlace 8 timeSpent 0.172595266416
1.0 timeSocialPlace 8 friends 0.0777331973225
1.0 timeSocialPlace 8 metAtHome 0.0171688989382
1.0 timeSocialPlace 8 metAtUniversity 0.0613311023753
1.0 timeSocialPlace 8 metAtThirdPlace 0.00863033511362
1.0 timeSocialPlace 8 metAtOtherPlace 0.0107582447795
1.0 timeSocialPlace 8 timeSpentAtHomeWith 0.0162714829471
1.0 timeSocialPlace 8 timeSpentAtUniversityWith 0.0901982666667
1.0 timeSocialPlace 8 timeSpentAtThirdPlaceWith 0.00453385385112
1.0 timeSocialPlace 8 timeSpentAtOtherPlaceWith 0.00261825344264
1.0 timeSocialPlace 8 spatialTriadicClosure 0.157800853613
1.0 timeSocialPlace 8 candidatesSpatialTriadicClosure 0.000510243291914
1.0 timeSocialPlace 8 numberOfPeople 0.146813043658
1.0 timeSocialPlace 8 metAtHourOfTheWeek 0.0874318924972
1.0 timeSocialPlace 8 metAtDayOfTheWeek 0.0438713172409
1.0 timeSocialPlace 8 metAtHourOfTheDay 0.101733747847
1.0 timeSocialPlace 9 timeSpent 0.176094625983
1.0 timeSocialPlace 9 friends 0.0772549167461
1.0 timeSocialPlace 9 metAtHome 0.0170808338204
1.0 timeSocialPlace 9 metAtUniversity 0.0553573445952
1.0 timeSocialPlace 9 metAtThirdPlace 0.00776987880852
1.0 timeSocialPlace 9 metAtOtherPlace 0.0114624647541
1.0 timeSocialPlace 9 timeSpentAtHomeWith 0.016412891386
1.0 timeSocialPlace 9 timeSpentAtUniversityWith 0.0866306523123
1.0 timeSocialPlace 9 timeSpentAtThirdPlaceWith 0.00325204955882
1.0 timeSocialPlace 9 timeSpentAtOtherPlaceWith 0.00313865412225
1.0 timeSocialPlace 9 spatialTriadicClosure 0.163585501363
1.0 timeSocialPlace 9 candidatesSpatialTriadicClosure 0.000307715771136
1.0 timeSocialPlace 9 numberOfPeople 0.146498032893
1.0 timeSocialPlace 9 metAtHourOfTheWeek 0.0882146841097
1.0 timeSocialPlace 9 metAtDayOfTheWeek 0.0446268693929
1.0 timeSocialPlace 9 metAtHourOfTheDay 0.102312884384
1.0 full 0 timeSpent 0.104443308255
1.0 full 0 friends 0.0485683943457
1.0 full 0 metAtHome 0.0133178534204
